tweet_id,retweet_count,favorite_count
892420643555336193,7291,34790
892177421306343426,5447,30143
891815181378084864,3590,22679
891689557279858688,7482,38058
891327558926688256,8035,36346
891087950875897856,2698,18328
890971913173991426,1740,10672
890729181411237888,16359,58621
890609185150312448,3740,25237
890240255349198849,6312,28777
890006608113172480,6351,27781
889880896479866881,4313,25260
889665388333682689,8644,43326
889638837579907072,3864,24368
889531135344209921,1948,13728
889278841981685760,4611,22755
888917238123831296,3876,26331
888804989199671297,3669,23104
888554962724278272,2983,17824
888078434458587136,3004,19715
887705289381826560,4679,27394
887517139158093824,10183,41895
887473957103951883,15565,61991
887343217045368832,9124,30410
887101392804085760,5164,27730
886983233522544640,6613,31374
886736880519319552,2742,10796
886680336477933568,3877,20327
886366144734445568,2731,19086
886267009285017600,3,105
886258384151887873,5472,25289
886054160059072513,95,0
885984800019947520,5816,29436
885528943205470208,5534,32506
885518971528720385,3223,18528
885311592912609280,15985,0
885167619883638784,3789,19766
884925521741709313,15599,69439
884876753390489601,4834,25134
884562892145688576,4061,21959
884441805382717440,4943,24536
884247878851493888,17567,65385
884162670584377345,2590,18454
883838122936631299,2966,19751
883482846933004288,8572,41413
883360690899218434,3191,20515
883117836046086144,5736,33522
882992080364220416,3348,21601
882762694511734784,4239,25521
882627270321602560,5254,25337
882268110199369728,10034,40433
882045870035918850,4218,26506
881906580714921986,2950,22053
881666595344535552,9256,45846
881633300179243008,8,113
881536004380872706,13883,44743
881268444196462592,4617,21082
880935762899988482,2424,15480
880872448815771648,3311,19269
880465832366813184,5400,25711
880221127280381952,3604,24388
880095782870896641,3772,25006
879862464715927552,3025,20277
879674319642796034,9,286
879492040517615616,2744,21297
879415818425184262,38751,95621
879376492567855104,2722,15273
879130579576475649,5932,0
879050749262655488,4084,20409
879008229531029506,2329,17231
878776093423087618,3570,17595
878604707211726852,6136,27187
878404777348136964,1108,0
878316110768087041,5742,0
878281511006478336,1108,6996
878057613040115712,5932,38159
877736472329191424,16423,71521
877611172832227328,70,0
877556246731214848,3292,20538
877316821321428993,4523,24887
877201837425926144,4825,24560
876838120628539392,2902,18763
876537666061221889,4106,21591
876484053909872640,2065,17037
876120275196170240,4051,25399
875747767867523072,3728,22816
875144289856114688,4271,19917
875097192612077568,5310,24934
875021211251597312,4115,23193
874680097055178752,4054,25288
874434818259525634,12662,0
874296783580663808,3613,23696
874057562936811520,3487,20689
874012996292530176,8906,31027
873580283840344065,3439,22053
873337748698140672,1382,0
873213775632977920,1382,6519
872967104147763200,4722,24785
872820683541237760,3260,13425
872620804844003328,3181,18884
872486979161796608,7981,37133
872122724285648897,7103,31179
871879754684805121,9587,34156
871762521631449091,3064,18420
871515927908634625,3044,18397
871166179821445120,5034,0
871102520638267392,4849,19081
871032628920680449,3346,20739
870804317367881728,5441,30669
870726314365509632,3,109
870656317836468226,2282,11201
870374049280663552,23521,76082
870308999962521604,3654,20032
870063196459192321,7318,33322
869772420881756160,8973,39012
869702957897576449,5555,25767
869596645499047938,2731,14614
869227993411051520,3322,18666
868880397819494401,12706,59713
868639477480148993,1815,0
868622495443632128,4663,24331
868552278524837888,1815,9233
867900495410671616,3701,22191
867774946302451713,6476,31120
867421006826221569,2201,14740
867072653475098625,106,0
867051520902168576,7001,29515
866720684873056260,4263,18338
866686824827068416,3070,17633
866450705531457537,31364,112076
866334964761202691,12662,47976
866094527597207552,7445,0
865718153858494464,5014,23624
865359393868664832,4448,24306
865006731092295680,6901,25786
864873206498414592,7749,29632
864279568663928832,2682,13448
864197398364647424,7869,27498
863907417377173506,3711,18988
863553081350529029,3756,14042
863471782782697472,2158,0
863432100342583297,4701,21895
863427515083354112,84,2016
863079547188785154,991,8112
863062471531167744,2158,7758
862831371563274240,4607,17686
862722525377298433,3193,15779
862457590147678208,4403,18810
862096992088072192,20741,68344
861383897657036800,9625,33272
861288531465048066,3713,15829
861005113778896900,3445,15440
860981674716409858,1921,0
860924035999428608,703,0
860563773140209665,1921,6929
860524505164394496,4769,21881
860276583193509888,3169,17071
860184849394610176,5287,15418
860177593139703809,27815,0
859924526012018688,3697,18181
859851578198683649,3184,14344
859607811541651456,1402,17301
859196978902773760,27245,83134
859074603037188101,12373,31342
858860390427611136,7351,0
